kx,ky,kxy,rmse,corr
1,1,1,54.62207496897255,0.813007762518565
1,2,1,54.45771314727026,0.8118685324857572
1,3,1,54.495858105511374,0.8110694810448229
1,4,1,54.24545540840294,0.8146623028781851
1,5,1,54.26586856454183,0.814018304720869
1,6,1,54.23621732583612,0.8140095845152664
1,7,1,54.225245943304856,0.8135849128362529
1,8,1,54.22899938883954,0.8135210142266984
1,9,1,54.2455155636378,0.8136607027301243
1,10,1,54.24804436587615,0.8137797283474585
2,1,1,54.68050222168713,0.7677170583888522
2,2,1,53.3851143000125,0.6260006588651166
2,2,2,50.093060761359425,0.813558095023017
2,3,1,54.91552770642826,0.6840950681458983
2,3,2,49.41634712127396,0.8113177152415927
2,4,1,54.436027153588114,0.7746490648543802
2,4,2,48.93308456671898,0.833089406867012
2,5,1,53.76414153547312,0.7878117206648159
2,5,2,49.0167532503294,0.8312707544658431
2,6,1,53.60603558723623,0.8244456935295544
2,6,2,48.924467743938415,0.8300215017643918
2,7,1,53.79141841781894,0.8186181010022426
2,7,2,48.927198013705144,0.8312299228948519
2,8,1,54.58354559262008,0.8269608155027193
2,8,2,48.9280114036266,0.8308240017015835
2,9,1,54.30598875683557,0.7941718659872173
2,9,2,48.92854538614329,0.8293680559495819
2,10,1,54.28724555035123,0.7706613786360277
2,10,2,48.92737226107747,0.8293447047697298
3,1,1,53.71640281626211,0.8549660795219017
3,2,1,52.90615659321972,0.6825172130840652
3,2,2,48.20901478791222,0.9129595038659766
3,3,1,55.35263010237464,0.6870273152937012
3,3,2,51.85676042359622,0.696694883861296
3,3,3,46.60189768176261,0.8943414495438439
3,4,1,55.71040506278354,0.7022962730228838
3,4,2,50.48724061263911,0.7857876896660029
3,4,3,45.474886308966,0.9187770383090333
3,5,1,54.501185525792245,0.7577042518222383
3,5,2,50.22963230612451,0.7871032163063019
3,5,3,45.57837336276642,0.918361079955244
3,6,1,54.59988518157815,0.7823066340796154
3,6,2,50.45282976103612,0.7595041729042801
